Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
BG,2014,-0.5241088800048123,-0.5658454865799802,-0.4754761643105937,-0.6322202141612918,-1.2740307841460077,-1.2549788131338446,-0.1647582101953064,-0.6173897581029515,-0.6332336444246393,-0.5985339977326042,-1.5466100586875078,-1.2763004178608564,-1.2654768613751843,-0.5336439960052921,-2.444575709216561,-0.46289297734356305,1.5792684472730358,-0.4618191956221128,-0.46395468944447704,-1.2739194628392632,-1.2526116953797004,-0.1166732994989342,-1.5766773760571946,-0.34441862455814337,,,-0.7839878684348729,1.4680346080212447,-0.44561415218894057
BG,2015,-0.5266608349615203,-0.6584909888975243,-0.4805690576058947,-0.4125297922519626,-1.2695205746945528,-1.2643289065007937,-0.1647582101953064,-0.6137242052379366,-0.5493711593525098,-0.45585704728314763,-1.1493981210779358,-1.2577801368833699,-1.2596608654590356,-0.4998932168215119,-2.3082426114808516,-0.46496587313001514,1.5792684472730358,-0.4637639339682033,-0.46616199309979434,-1.3115172960902883,-1.2882721085871311,-0.2480358773381183,-1.5294763188014666,-0.2136740273831434,-0.5360569985854416,-0.8509402592939445,-0.8623167188048153,1.4032863712901615,-0.4524177488648384
BG,2016,-0.523628809270382,-0.7295910255598259,-0.48511664826952017,-0.37591472193374054,-1.2809921943862967,-1.2800198677832602,-0.11354562265680072,-0.6098191376856976,-0.46550867428038034,-0.153352720115375,-1.0112374471267782,-1.2783582268583549,-1.2793536235610836,-0.509800215704843,-2.2176415022261113,-0.46722924415990863,1.5792684472730358,-0.46589271862108056,-0.4685665160651286,-1.2833189211520195,-1.2882721085871311,-0.40914284104042165,-1.4822752615457386,-0.5592133199170722,-0.5171585336045591,-0.6722415192397696,-0.9014811439897868,1.3357695663212736,-0.4586590648237198
BG,2017,-0.5284800503762033,-0.805000155353175,-0.48959487843797833,0.01464602812728919,-1.2135351486775798,-1.236063681724844,-0.01112044757978938,-0.6048626905406446,-0.3313286981649733,0.17542460048554598,-0.32043407737099994,-1.2070832061268162,-1.2323154811515282,-0.49046158102527626,-2.165869439794828,-0.4695695812640112,1.5792684472730358,-0.4680514725001587,-0.4710972815691149,-1.3115172960902883,-1.2971872118889887,-0.26630887889225197,-1.3878731470342842,-0.39111312354921485,-0.46046313866190997,-0.5888487738811548,-0.245477022141517,1.291786882736381,-0.4643055469714419
BG,2018,-0.5238056774356984,-0.9378638602271733,-0.49510997510776605,0.13669626252136113,-1.212750764425153,-1.236063681724844,-0.01112044757978938,-0.5999745817472995,-0.31455620115054733,0.41699017899587865,-0.13046315068816192,-1.2035288087675005,-1.23384600639262,-0.4864858170241139,-2.1184117158994864,-0.471866382458611,1.5792684472730358,-0.4701467621355173,-0.47360540474369434,-1.3021178377775322,-1.3061023151908464,0.05377319833103732,-1.29347103252283,-0.6339245183027866,-0.39431851122881917,-0.5292825271964299,-0.2944325536227312,1.226865334838508,-0.47144096325468415
BG,2019,-0.5171604877959537,-1.0003457106273774,-0.5016063249088842,0.4296168250671345,-1.1331357628038183,-1.1717952238692626,0.09130472749722196,-0.5929279327539726,-0.2474662130928439,0.7030738852679341,0.35309920814088236,-1.1083083742468882,-1.1624214951416683,-0.4839253385777132,-2.0657767857610168,-0.4740894658541148,1.5792684472730358,-0.4721648369410171,-0.4760434753236192,-1.3115172960902883,-1.2704419019834159,0.360556591089929,-1.1518678607556476,-0.26036852637421487,-0.554955463566325,-0.636501771228935,-0.12798374658660275,1.1339284043041988,-0.4801126636285639
BG,2020,-0.5637526159164451,-1.1245912292392781,-0.507688178057201,0.22213142659721186,-1.0847980832480082,-1.1292361781990112,-0.01112044757978938,-0.5928262844126507,-0.21392121906399192,0.967263430345699,0.09404794448246553,-1.0792184379640686,-1.1233420839857902,-0.559832180621644,-2.1581036304301353,-0.4759728338107002,1.5792684472730358,-0.4738177279107804,-0.47816843483403243,-1.0483324633331117,-1.1723757656629816,0.5164862043518897,-1.0102646889884652,-0.7833469150742153,-0.5833031610376491,-0.541195776533375,-0.12798374658660275,1.0377547469835493,-0.4883382386440741
BG,2021,-0.5383341338724026,-1.2143640028027902,-0.5131076697201365,0.2709515203548413,-1.0058694178475471,-1.0712011159213959,0.09130472749722196,-0.5803318659274654,-0.1971487220495661,1.4507594900529355,0.18039836570193782,-1.0125267190905947,-1.0701818406118675,-0.5117772939988993,-2.135669070043247,-0.47851154127136647,1.5792684472730358,-0.47620689225247387,-0.48086407346316884,-0.6817535891356158,-0.8870924600035375,0.8775625608193568,-0.9158625744770109,0.03847626716864247,,,-0.3727614039926736,0.9298643871492719,-0.4960270575277483
BG,2022,-0.5508665067291074,-1.2739731244489623,-0.51752966164927,0.6615122704158701,-1.007928426510168,-1.0531457632128045,0.44979284026676053,-0.5608473725582975,-0.34810119517939914,2.204648440509653,0.5776103033115099,-0.9839044666708429,-1.0297759742470434,-0.5183351438595122,-2.0295363420591213,-0.4890873385457111,1.5534006095462665,-0.48584226291041643,-0.4924260786173358,-0.9167400469545236,-1.0386492161351173,2.6178813830775773,,-0.6059078189081437,,,-0.45109025436261635,0.8166681593117605,-0.502716348452621
HR,2009,-0.6632788592280587,0.26293675895836405,-0.5993283890370013,-1.0593960345405435,,,0.09130472749722196,-0.6138569164663984,0.49052365554189514,-0.016149309964491123,-0.9939673628828848,,,-0.5575634022514154,-1.0786561287379153,-0.594521025157027,-0.6712334349557123,-0.5922598119376752,-0.5968301367652429,-1.1047292132096498,-1.0832247326444053,-1.2766028314853946,,-0.5872300193117151,-1.7833556873237195,-1.8397399542603785,-0.4804635732513449,1.006423542169882,-0.5840939049089092
